line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.185669752895621E+05  119.827586  6.228398  4.725029  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8333  4.725029   -5.043  0.254027  7.663247  0.7169990E+00  0.2687321E+00  4.2417780E-05  1.1664129E-05  4.0427343E-03  4.8685173E-03  7.0579847E-06  1.3721690E-08  1.8755817E-03  1.0092129E-04  4.058E-06  1.847E-05  1.711E-05  9.868E-01  1.022E+00  9.99E+02  0.00E+00  1.99E+02  0.295026  0.373333  0.0000000E+00  3.6026377474E+00
  2  0.680506204748174E+05  119.375417  6.229586  4.720675  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  9.148E-16  0.8321  4.720675   -5.034  0.233787  7.656526  0.7086408E+00  0.2772829E+00  5.4106424E-05  1.4819473E-05  5.3836056E-03  3.3183116E-03  5.2056139E-06  1.1282650E-08  1.8726075E-03  3.7609029E-05  1.243E-05  1.522E-05  1.640E-05  9.902E-01  1.015E+00  9.85E+02  0.00E+00  1.69E+02  0.255053  0.375775  0.0000000E+00  3.4919927944E+00
  3  0.116493077329920E+06  118.921820  6.230767  4.717577  0.7199995E+00  0.2659563E+00  2.2828730E-03  2.7714068E-05  6.5919690E-04  5.7183396E-03  2.2661653E-06  1.2898058E-05  1.8768896E-03  1.5180070E-04  6.106E-10  0.8285  4.717577   -5.024  0.224841  7.653540  0.7002827E+00  0.2857523E+00  6.1741319E-05  1.6930627E-05  6.1523428E-03  2.4282808E-03  3.8029879E-06  8.2402536E-09  1.8702755E-03  1.6905244E-05  1.786E-05  1.443E-05  1.575E-05  9.908E-01  1.015E+00  9.76E+02  0.00E+00  1.62E+02  0.246437  0.378235  0.0000000E+00  3.3837683177E+00
  4  0.165418594837441E+06  118.454014  6.232177  4.715290  0.7199568E+00  0.2659980E+00  2.2662362E-03  2.7775524E-05  6.8796957E-04  5.7076448E-03  2.2978758E-06  1.2800712E-05  1.8768720E-03  1.5122485E-04  4.765E-08  0.8259  4.715290   -5.015  0.220403  7.652045  0.6919367E+00  0.2941710E+00  6.6132793E-05  1.8151596E-05  6.6544132E-03  1.8479417E-03  2.9267697E-06  6.5302000E-09  1.8682246E-03  9.2391655E-06  2.171E-05  1.393E-05  1.522E-05  9.910E-01  1.014E+00  9.68E+02  0.00E+00  1.59E+02  0.244893  0.380954  0.0000000E+00  3.2737934520E+00
  5  0.214809527297884E+06  117.972288  6.233760  4.713418  0.7197165E+00  0.2662343E+00  2.1920199E-03  2.7672803E-05  8.2455772E-04  5.6509923E-03  2.4285135E-06  1.2369453E-05  1.8767761E-03  1.4829606E-04  2.890E-07  0.8240  4.713418   -5.007  0.218113  7.651260  0.6835662E+00  0.3025923E+00  6.9510515E-05  1.9083211E-05  7.0043911E-03  1.4429112E-03  2.2870585E-06  5.1654789E-09  1.8663185E-03  6.1452719E-06  2.452E-05  1.340E-05  1.473E-05  9.913E-01  1.013E+00  9.61E+02  0.00E+00  1.55E+02  0.239794  0.383853  0.0000000E+00  3.1625257238E+00
  6  0.264250030215336E+06  117.480578  6.235425  4.711823  0.7191597E+00  0.2667868E+00  2.0628836E-03  2.7225662E-05  1.0801665E-03  5.5322596E-03  2.6273150E-06  1.1620784E-05  1.8765655E-03  1.4251736E-04  7.813E-07  0.8227  4.711823   -4.998  0.216919  7.650836  0.6752363E+00  0.3109588E+00  7.2374981E-05  1.9870320E-05  7.2556090E-03  1.1514603E-03  1.8100494E-06  4.2280464E-09  1.8645136E-03  4.8256214E-06  2.659E-05  1.292E-05  1.427E-05  9.917E-01  1.013E+00  9.54E+02  0.00E+00  1.51E+02  0.234804  0.386814  0.0000000E+00  3.0509640239E+00
  7  0.313987989081041E+06  116.976366  6.237241  4.710518  0.7181690E+00  0.2677765E+00  1.9032593E-03  2.6531825E-05  1.4270235E-03  5.3503990E-03  2.8209659E-06  1.0695504E-05  1.8762177E-03  1.3439573E-04  1.528E-06  0.8219  4.710518   -4.990  0.216694  7.650730  0.6669002E+00  0.3193219E+00  7.4304466E-05  2.0399416E-05  7.4418407E-03  9.3571863E-04  1.4670718E-06  3.5298975E-09  1.8627681E-03  4.2355252E-06  2.810E-05  1.246E-05  1.382E-05  9.921E-01  1.012E+00  9.48E+02  0.00E+00  1.46E+02  0.229446  0.389885  0.0000000E+00  2.9388986043E+00
  8  0.364132630849810E+06  116.458528  6.239178  4.709436  0.7165203E+00  0.2694300E+00  1.7239484E-03  2.5711708E-05  1.8599987E-03  5.0966971E-03  2.9638119E-06  9.6549233E-06  1.8756841E-03  1.2414827E-04  2.574E-06  0.8217  4.709436   -4.982  0.216864  7.650753  0.6585333E+00  0.3277091E+00  7.6082063E-05  2.0895698E-05  7.5817494E-03  7.7308985E-04  1.2001603E-06  2.9284224E-09  1.8610585E-03  3.9680693E-06  2.917E-05  1.200E-05  1.338E-05  9.925E-01  1.012E+00  9.43E+02  0.00E+00  1.42E+02  0.223994  0.392991  0.0000000E+00  2.8264649158E+00
